"","x"
"1",92.0833333333333
"2",38.7916666666667
"3",28.75
"4",72.5833333333333
"5",91.8695652173913
"6",76.0416666666667
"7",33.0434782608696
"8",74
"9",46.9583333333333
"10",37.875
"11",60.5
"12",51.9583333333333
"13",32.9583333333333
"14",27.5238095238095
"15",35.6666666666667
"16",39.1304347826087
"17",98.5416666666667
"18",41.25
"19",76.125
"20",74.0869565217391
"21",74.3333333333333
"22",105.208333333333
"23",72.4583333333333
"24",75.2916666666667
"25",73.8333333333333
"26",63.9166666666667
"27",46.5833333333333
"28",28.0434782608696
"29",27.4166666666667
"30",26.3333333333333
"31",30.75
"32",21.0833333333333
"33",24.0833333333333
"34",20.0416666666667
"35",31
"36",98.75
"37",37.4782608695652
"38",41.5833333333333
"39",65.0833333333333
"40",30.875
"41",23.4166666666667
"42",57.0434782608696
"43",93.6086956521739
"44",75.2916666666667
"45",70.6666666666667
"46",62.5789473684211
"47",57.3478260869565
"48",83.7916666666667
"49",104.916666666667
"50",67.25
"51",46.5833333333333
"52",65.625
"53",52.7083333333333
"54",58.7916666666667
"55",41.2083333333333
"56",65.1363636363636
"57",61.7083333333333
"58",21.2916666666667
"59",28.75
"60",22.5833333333333
"61",56.5217391304348
"62",76.5
"63",38.4347826086956
"64",16.4583333333333
"65",14.9166666666667
"66",23.0833333333333
"67",25.875
"68",46.875
"69",60.0833333333333
"70",17.6666666666667
"71",25.6521739130435
"72",45.1739130434783
"73",80.2916666666667
"74",80.9583333333333
"75",78.9565217391304
"76",87.625
"77",75
"78",71.2916666666667
"79",82.375
"80",40.0833333333333
"81",87.3333333333333
"82",62.6086956521739
"83",33.7916666666667
"84",26.5416666666667
"85",25.875
"86",29.375
"87",33.0416666666667
"88",33.625
"89",60.7916666666667
"90",63
"91",67.5217391304348
"92",66.5416666666667
"93",53.875
"94",54.4583333333333
"95",48.5416666666667
"96",46.0416666666667
"97",16.5416666666667
"98",20
"99",25.5217391304348
"100",17.0416666666667
"101",38.8333333333333
"102",43
"103",53.75
"104",74.0434782608696
"105",67.3478260869565
"106",74.3333333333333
"107",94.2083333333333
"108",80.5416666666667
"109",47.6666666666667
"110",43.7083333333333
"111",45.5
"112",37.7916666666667
"113",38.0416666666667
"114",41.3913043478261
"115",48.0833333333333
"116",36.1666666666667
"117",57.9166666666667
"118",70.1666666666667
"119",57.6666666666667
"120",68.3913043478261
"121",59.6521739130435
"122",55.6666666666667
"123",44.2083333333333
"124",44.3333333333333
"125",30.0869565217391
"126",77.9583333333333
"127",69.0833333333333
"128",50.5909090909091
"129",49.4583333333333
"130",36.375
"131",66.0833333333333
"132",51.75
"133",55.9166666666667
"134",69.1739130434783
"135",57.3333333333333
"136",39.9166666666667
"137",41.375
"138",43.7083333333333
"139",42.0416666666667
"140",32.5833333333333
"141",37.8695652173913
"142",24.9166666666667
"143",29.375
"144",15.0833333333333
"145",24.75
"146",40.3478260869565
"147",35.9166666666667
"148",34.1666666666667
"149",38.6666666666667
"150",41.2083333333333
"151",38.875
"152",41.5833333333333
"153",47.1666666666667
"154",35.6666666666667
"155",48.6521739130435
"156",40.6666666666667
"157",40.1666666666667
"158",35.1666666666667
"159",36.9583333333333
"160",39.7083333333333
"161",42
"162",40.6086956521739
"163",36.2083333333333
"164",34.25
"165",42.4166666666667
"166",40.75
"167",40.4166666666667
"168",41
"169",39.0833333333333
"170",35.3333333333333
"171",37.9583333333333
"172",37.9583333333333
"173",31.5652173913043
"174",34.6666666666667
"175",48.4583333333333
"176",47.125
"177",44.5
"178",39.7083333333333
"179",41.9583333333333
"180",46
"181",42.5416666666667
"182",41.1818181818182
"183",45.2083333333333
"184",39.875
"185",17.9166666666667
"186",25.0416666666667
"187",34.1363636363636
"188",20.7916666666667
"189",23
"190",23.375
"191",36.375
"192",29.0416666666667
"193",36.2173913043478
"194",43.5416666666667
"195",49.2916666666667
"196",54.7916666666667
"197",60
"198",46.625
"199",36.6666666666667
"200",29.3478260869565
"201",42.5416666666667
"202",36.2083333333333
"203",46.625
"204",43.4583333333333
"205",35.625
"206",36.8695652173913
"207",32.75
"208",37.9166666666667
"209",45
"210",41.25
"211",39.5833333333333
"212",36.4166666666667
"213",42.4166666666667
"214",41.5217391304348
"215",45.5416666666667
"216",26.8333333333333
"217",32.25
"218",50.7083333333333
"219",48.5
"220",31.875
"221",35.375
"222",27.7916666666667
"223",23.875
"224",31.8695652173913
"225",30.5416666666667
"226",31.9565217391304
"227",28.25
"228",24
"229",24.625
"230",24.75
"231",34.8333333333333
"232",39.375
"233",41.8260869565217
"234",28.125
"235",42.8333333333333
"236",24.625
"237",24.9166666666667
"238",27.5652173913043
"239",35.25
"240",35.9166666666667
"241",49.2083333333333
"242",50.75
"243",44.875
"244",38.7083333333333
"245",34.0833333333333
"246",33.5416666666667
"247",33.1666666666667
"248",47
"249",30.7826086956522
"250",37.4166666666667
"251",44.2916666666667
"252",43.625
"253",39.9166666666667
"254",46.2916666666667
"255",56.3478260869565
